FECHA,ASIGNACION_CONTRATO,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
01/01/2016,A-0075,Terrestre,Cinturon Plegado de Chiapas,3P,0.603556,0.603556,0.067644,0,0,0
01/01/2016,A-0077,Terrestre,Veracruz,1P,0.198997,0,1.329114,0,0,1.034967
01/01/2016,A-0077,Terrestre,Veracruz,2P,0.198997,0,1.329114,0,0,1.034967
01/01/2016,A-0077,Terrestre,Veracruz,3P,0.198997,0,1.329114,0,0,1.034967
01/01/2016,A-0078,Aguas someras,Cuencas del Sureste,1P,12.036103,10.808688,4.626119,0.31877,0.295156,3.190715
01/01/2016,A-0078,Aguas someras,Cuencas del Sureste,2P,12.036103,10.808688,4.626119,0.31877,0.295156,3.190715
01/01/2016,A-0078,Aguas someras,Cuencas del Sureste,3P,18.03561,16.510688,5.747419,0.396035,0.366697,3.964095
01/01/2016,A-0079,Terrestre,Veracruz,1P,2.566143,0,13.34633,0,0,13.34633
01/01/2016,A-0079,Terrestre,Veracruz,2P,2.566143,0,13.34633,0,0,13.34633
01/01/2016,A-0079,Terrestre,Veracruz,3P,2.566143,0,13.34633,0,0,13.34633
01/01/2016,A-0081,Terrestre,Burgos,1P,3.215323,0,14.873156,0.084229,0.397743,14.215964
01/01/2016,A-0081,Terrestre,Burgos,2P,4.319871,0,19.963274,0.117206,0.533865,19.081168
01/01/2016,A-0081,Terrestre,Burgos,3P,7.944399,0,36.353265,0.291317,0.972171,34.746944
01/01/2016,A-0082,Aguas someras,Cuencas del Sureste,1P,2.994411,0.882815,11.9414,0.159261,0.68357,6.598757
01/01/2016,A-0082,Aguas someras,Cuencas del Sureste,2P,2.994411,0.882815,11.9414,0.159261,0.68357,6.598757
01/01/2016,A-0082,Aguas someras,Cuencas del Sureste,3P,2.994411,0.882815,11.9414,0.159261,0.68357,6.598757
01/01/2016,A-0083,Terrestre,Cuencas del Sureste,1P,15.285592,6.703448,34.693376,0.361903,3.122422,26.513404
01/01/2016,A-0083,Terrestre,Cuencas del Sureste,2P,15.285592,6.703448,34.693376,0.361903,3.122422,26.513404
01/01/2016,A-0083,Terrestre,Cuencas del Sureste,3P,15.285592,6.703448,34.693376,0.361903,3.122422,26.513404
01/01/2016,A-0084,Terrestre,Tampico-Misantla,1P,0.118467,0.112125,0.039624,0,0.001103,0.027244
01/01/2016,A-0084,Terrestre,Tampico-Misantla,2P,0.350746,0.332832,0.11643,0,0.003116,0.076955
01/01/2016,A-0084,Terrestre,Tampico-Misantla,3P,1.163034,1.064468,0.62936,0,0.017149,0.423437
01/01/2016,A-0085,Terrestre,Tampico-Misantla,1P,0.015536,0.01399,0.010286,0,0.000269,0.006643
01/01/2016,A-0085,Terrestre,Tampico-Misantla,2P,0.015536,0.01399,0.010286,0,0.000269,0.006643
01/01/2016,A-0085,Terrestre,Tampico-Misantla,3P,0.015536,0.01399,0.010286,0,0.000269,0.006643
01/01/2016,A-0086,Terrestre,Cuencas del Sureste,1P,0.733371,0,3.349398,0.052416,0.260201,2.188312
01/01/2016,A-0086,Terrestre,Cuencas del Sureste,2P,1.486567,0,6.789338,0.106249,0.527436,4.435779
01/01/2016,A-0086,Terrestre,Cuencas del Sureste,3P,1.486567,0,6.789338,0.106249,0.527436,4.435779
01/01/2016,A-0087,Terrestre,Cuencas del Sureste,1P,21.737037,12.101705,38.01581,0.743949,3.3754,28.688245
01/01/2016,A-0087,Terrestre,Cuencas del Sureste,2P,37.821057,20.935142,66.622688,1.30377,5.915387,50.276135
01/01/2016,A-0087,Terrestre,Cuencas del Sureste,3P,37.821057,20.935142,66.622688,1.30377,5.915387,50.276135
01/01/2016,A-0088,Terrestre,Cuencas del Sureste,1P,0.862533,0.576636,1.12617,0.020563,0.100728,0.856109
01/01/2016,A-0088,Terrestre,Cuencas del Sureste,2P,0.862533,0.576636,1.12617,0.020563,0.100728,0.856109
01/01/2016,A-0088,Terrestre,Cuencas del Sureste,3P,0.862533,0.576636,1.12617,0.020563,0.100728,0.856109
01/01/2016,A-0089,Aguas someras,Cuencas del Sureste,1P,49.018839,41.275997,44.286402,0.610093,2.497386,24.1082
01/01/2016,A-0089,Aguas someras,Cuencas del Sureste,2P,49.018839,41.275997,44.286402,0.610093,2.497386,24.1082
01/01/2016,A-0089,Aguas someras,Cuencas del Sureste,3P,58.411339,50.356494,46.070951,0.634677,2.59802,25.079655
01/01/2016,A-0090,Aguas someras,Cuencas del Sureste,1P,33.256961,27.243877,35.202763,0.444031,1.94989,18.823013
01/01/2016,A-0090,Aguas someras,Cuencas del Sureste,2P,33.256961,27.243877,35.202763,0.444031,1.94989,18.823013
01/01/2016,A-0090,Aguas someras,Cuencas del Sureste,3P,33.256961,27.243877,35.202763,0.444031,1.94989,18.823013
01/01/2016,A-0092,Terrestre,Cuencas del Sureste,1P,12.295639,11.109451,15.451229,0,0.461604,3.768509
01/01/2016,A-0092,Terrestre,Cuencas del Sureste,2P,16.094185,14.436052,21.598772,0,0.645261,5.267877
01/01/2016,A-0092,Terrestre,Cuencas del Sureste,3P,16.840155,15.134711,22.215034,0,0.663672,5.418182
01/01/2016,A-0094,Terrestre,Tampico-Misantla,1P,47.514488,36.965329,61.167719,0,3.074024,38.877661
01/01/2016,A-0094,Terrestre,Tampico-Misantla,2P,127.857092,91.151249,212.288872,0,10.696078,135.274973
01/01/2016,A-0094,Terrestre,Tampico-Misantla,3P,158.821814,111.221045,275.446048,0,13.870858,175.426911
01/01/2016,A-0095,Terrestre,Cuencas del Sureste,1P,3.667915,0,19.07657,0,0,19.07657
01/01/2016,A-0095,Terrestre,Cuencas del Sureste,2P,5.302675,0,27.578843,0,0,27.578843
01/01/2016,A-0095,Terrestre,Cuencas del Sureste,3P,5.302675,0,27.578843,0,0,27.578843
01/01/2016,A-0096,Terrestre,Cuencas del Sureste,1P,0,0,0,0,0,0
01/01/2016,A-0096,Terrestre,Cuencas del Sureste,2P,9.063063,3.273487,23.854462,0.202417,2.121031,18.027092
01/01/2016,A-0096,Terrestre,Cuencas del Sureste,3P,9.063063,3.273487,23.854462,0.202417,2.121031,18.027092
01/01/2016,A-0097,Terrestre,Veracruz,1P,0.44845,0,2.571982,0,0,2.332356
01/01/2016,A-0097,Terrestre,Veracruz,2P,0.44845,0,2.571982,0,0,2.332356
01/01/2016,A-0097,Terrestre,Veracruz,3P,0.44845,0,2.571982,0,0,2.332356
01/01/2016,A-0098,Terrestre,Burgos,1P,8.214737,0,39.651945,0.237483,1.013351,36.218775
01/01/2016,A-0098,Terrestre,Burgos,2P,15.913625,0,76.813921,0.460053,1.963068,70.163169
01/01/2016,A-0098,Terrestre,Burgos,3P,22.419932,0,108.219394,0.648147,2.765671,98.849473
01/01/2016,A-0099,Terrestre,Cuencas del Sureste,1P,3.106949,2.207233,3.615137,0.039178,0.326872,2.775564
01/01/2016,A-0099,Terrestre,Cuencas del Sureste,2P,3.106949,2.207233,3.615137,0.039178,0.326872,2.775564
01/01/2016,A-0099,Terrestre,Cuencas del Sureste,3P,3.106949,2.207233,3.615137,0.039178,0.326872,2.775564
01/01/2016,A-0100,Terrestre,Tampico-Misantla,1P,0.091691,0.071144,0.155766,0,0.003575,0.08827
01/01/2016,A-0100,Terrestre,Tampico-Misantla,2P,0.091691,0.071144,0.155766,0,0.003575,0.08827
01/01/2016,A-0100,Terrestre,Tampico-Misantla,3P,0.091691,0.071144,0.155766,0,0.003575,0.08827
01/01/2016,A-0101,Terrestre,Veracruz,1P,1.362704,0,5.628968,0.09883,0.29947,5.015796
01/01/2016,A-0101,Terrestre,Veracruz,2P,1.362704,0,5.628968,0.09883,0.29947,5.015796
01/01/2016,A-0101,Terrestre,Veracruz,3P,1.362704,0,5.628968,0.09883,0.29947,5.015796
01/01/2016,A-0103,Terrestre,Tampico-Misantla,1P,49.222217,35.117111,67.26041,0,4.110226,51.982671
01/01/2016,A-0103,Terrestre,Tampico-Misantla,2P,271.210574,173.826938,464.393497,0,28.377579,358.895685
01/01/2016,A-0103,Terrestre,Tampico-Misantla,3P,432.363373,270.807493,770.413824,0,47.077363,595.394778
01/01/2016,A-0104,Terrestre,Cuencas del Sureste,1P,57.172719,11.600492,190.807138,0,17.413688,146.4506
01/01/2016,A-0104,Terrestre,Cuencas del Sureste,2P,57.172719,11.600492,190.807138,0,17.413688,146.4506
01/01/2016,A-0104,Terrestre,Cuencas del Sureste,3P,57.172719,11.600492,190.807138,0,17.413688,146.4506
01/01/2016,A-0107,Terrestre,Tampico-Misantla,1P,38.007755,28.034856,43.705029,0,2.906101,36.753916
01/01/2016,A-0107,Terrestre,Tampico-Misantla,2P,120.699122,77.540947,187.288379,0,12.576286,159.054258
01/01/2016,A-0107,Terrestre,Tampico-Misantla,3P,168.668852,105.233587,274.712736,0,18.485027,233.783034
01/01/2016,A-0108,Terrestre,Cuencas del Sureste,1P,1.671735,0.518083,4.834814,0.004805,0.435837,3.708323
